ID,Tweets,Labels
MA_YT026,@USER nee ninte thallayod thanthayod para Closet vaname,OFF
MA_YT027,"Edo parvathi padmapriya onnum alla aaa revathi kurach prayam ulla strreee alle ,, awaralle eware koode prnju mnsilakandadh ... paratta thalla 🤬",OFF
MA_YT028,Nadi mare nadimare ennalathr gusthikar ennu parayan pattumo,NOT
MA_YT029,@USER njan ninne sex cheythotte,OFF
MA_YT030,@USER ithil ipo mindan vendum ntha undaye,NOT
MA_YT031,@USER aahaa pennan Supporter undallo ivide,NOT
MA_YT032,@USER ivalokke nth Lalettande okke sprt kond thnneya kore padangal thnne aa samayathokke kitye..ipo pinne kilavi ayallo pavam..pinna Ettan ipozhum cheruppanu😎🙌🏻,OFF
MA_YT033,@USER vaa thuranna chettatharame parayoolunnu mathram,NOT
MA_YT034,"@USER chettatharam rahasyamayi kanikam..athinu kuzhapamilla lle..mohanlal vallya star ayipoyille,arum neril chodikan dhairyapedilla...pennupidiyan😏",OFF
MA_YT035,@USER do than ethanu ealu ee parayana 3 ennom decent aanalloo😝😝😝😝 ethonnum allandu vere orennam koodu undu geethu mohandas. arinnattu kidannu chelakku keettaaa,OFF
MA_YT036,@USER da umba Lal@10 Vilichadh thettan..Vedikale Nadikal ennu vilichallo..,OFF
MA_YT037,"@USER abhiprayam parayunna sthreekal oke vedikanalodo? Atho avar abhinayicha filmsilude ano thaan avare judge cheytheth. Anna pinne mohanlal thanneyanu ettavum vallya -""vedi""",OFF
MA_YT038,@USER thanonnum vilikkanda penkondha,OFF
MA_YT039,"@USER kilukum ,devasuram oke revathi thanneyalle abhinayichath allathe mohanlal ottakyallalo.revathikk abhinayikan arilapolum.thangal onnu abhinayich kanichate. Oru video i tubeil idu.ennit parayam baki",NOT
MA_YT040,@USER onnu podi shavame. Sathyam para nee alle parvathy. Perum matti swanthamayi nyayeekarikkan irangiyathalle kurippe nee,OFF
MA_YT041,@USER parvathy enna vyakthye njn respect cheyunnu. She has the spine.thannepole vazhapindi nattel aakkivekunnavar alla,OFF
MA_YT042,@USER aanungale pole mudi valarthiyirikkunna kondano ninakk avalod ithra ishtam. Enna poyi avalude shaddi kazhuki kodukk,OFF
MA_YT043,@USER than poyi Adam thante underwear kazhukk ennit mathi bakiyullavarde karyathil edapedunnath.,OFF
MA_YT044,@USER ayyo njan kazhuki. Ninne pole konakam ittondalla nadakkunne. Kazhukanamengi njan parayaam. Vannu kazhukiyitt po,OFF
MA_YT045,@USER give respect take respect ennalle.... Abhinayamaan aaswaadhanam....kalaye maathram snehikku.....kazhivullavar mathre valarnnu vannittullu...valarthiyittullu....athu marakkaandirikaa...,NOT
MA_YT046,@USER pinnentha lalettanu padam illenno,NOT
MA_YT047,@USER nthe nokipedipikan nokuvano,NOT
MA_YT048,@USER Ath nalla nadimarde alle. Athu nammal kaanum!!,NOT
MA_YT049,@USER Ne mathram kanditt karyamilla mone..,NOT
MA_YT050,@USER evideya pokendath nintammante pootila,OFF
MA_YT051,@USER njn inim enik dislike cheinamn thonumbo cheyumbo like cheyqnam n thonunbo cheyum... Mohanlalinem paraem.... enik ishtam lla commen idum ne poi chavedaaa naaarareee pklayaadeeemoneee,OFF
MA_YT052,@USER Paaan parattaa naareee ente veettilullore vruthiked vllichal dhe koppeeee... pannm$@%##@@##-**&%%&&************************ninakkum und amma ninnem ninte amma pettathaaa... ellillatha nakkum aait vrithiked paranju vannal undallo..... dasheeeeee,OFF
MA_YT053,@USER Ithrak choriyan mohanlal aaraa ninte thanthayo daa chetteeee.....oru mohanlalum kure ooooooooooooooooolllllaaaa fansummmmmm🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,OFF
MA_YT054,@USER ninte swabgavam vach ath ninte veeettulylla arodelm cheiiii daaa nareeeeee.... Allengil thane chwithoo ninepolulla njarambu rogigalkk athaa bestt... angne manosukhma kituanel athavum best... Panna parattteeee,OFF
MA_YT055,@USER ninte chundu kudichu parikkan thonnunnu,OFF
MA_YT056,@USER njan ethra paisa venamenkilum tharam enikku ninne venam oru divasathekku ethraya ninte rate para,OFF
MA_YT057,@USER ninakku vendenkil venda nintammanodu poi chodikku veno ennu,OFF
MA_YT058,@USER engane ullavanmarude comment report cheyanam . Allate evarokkae samsarichu endina samayam kollanae . Ellata samskaram evidennu varutana,NOT
MA_YT059,@USER Parayunullathe neram vannam parayuka. Koduvakke ozhivakkuka,NOT
MA_YT060,@USER ayyo athengane sir manasilakki. ..bhayankaraaa,NOT
MA_YT061,@USER ivde arkum respect Ila apo padipikan nilkenda,NOT
MA_YT062,@USER athe mini chechi... Ningalkk ee NADIMARE * Alelo chelavine thanae.... Pinae ningalk entha ithrakk veshamam... Ivare NADIMARE enne vilichathin💩💩💩,NOT
MA_YT063,@USER cmt super aayittund... choriyaan vannavanu kodutha reply kidukki.... Nee yaan aankutty...,NOT
MA_YT064,@USER poichu mone deepaknu kodutha replay,NOT
MA_YT065,@USER enthe...ninne koottikkoduth cash kittaanundo?,OFF
MA_YT066,@USER venda moluse...ninte thallede vatta koothi adach vacholu...baakkiyundenki oru marakkunna medich irunn oombikko😊😊😊,OFF
MA_YT067,@USER nee onnu chilakkathe irikkeda vatta poori mone...enthada myra,OFF
MA_YT068,@USER nee poyi nintappande vrppandi oombi irunno...roatile patti vere pannikkaanum ninde thallene...🤣🤣 veppandikk pattyoliyil indaya..thayyolichekkan..🤣🤣🤣😚😚😚,OFF
MA_YT069,@USER thantha illa ennu parayaan ithu ninte thanthaye kurichalla charcha.... Lalettane kurichaanu...,OFF
MA_YT070,@USER Machane ulla karyam paranjeneullu avanta oru kollalu,NOT
MA_YT071,@USER polayadikalku piranna mone nee veshikundaya janmamalle nee a swabavame kaaniku,OFF
MA_YT072,@USER alla oru samshayam ninakku anujathi unda undankil ing ayakku paisa tharada,OFF
MA_YT073,@USER ninte Amma enganaya sundhariyano oru photo ayakku njan onnu kanatte,OFF
MA_YT074,@USER polayadikalkku piranna mone nintammante samanam ethra Peru kudichada ninte ammante samanam kathikkada adyam,OFF
MA_YT075,@USER nee cheyyunna karyam enthinada ente thalayilidnne veshikundaya santhathi,OFF
MA_YT076,@USER ninte bhagyam ore samayam ammayeyum pengalayum fuck cheyyunnath oh,OFF
MA_YT077,@USER ninakku sugamano sugamillenkil njan sugam tharam nalla sugam kittum,OFF
MA_YT078,"@USER Nee podi poori,lalettan fans nodu kalichaal ninnayokke veetil kayari poolum kettodi,bhavanakku sambhavicha pole aakilla",OFF
MA_YT079,@USER mammunniyude aano santhathi atho vere arengilum .... Ivaludeyokke roll kandittu cmnt ittu tholikkan vanna ninnodokke enthu parayana myre,OFF
MA_YT080,@USER edi ninak enthoram indadi education...chuma ee potatharam parayand onju poo 💩💩💩,OFF
MA_YT081,@USER pully nice ayittt feminachi kalle trollyathaannu bro.,NOT
MA_YT082,@USER enna myiru varthanum Ada parayunne thayoli... Manasil vargeeyatha ullondannu... Nee okke igne parayunne,OFF
MA_YT083,"@USER Bro , Islamophobia yum oru tharathil Xenophobia thanneyaa ... malayaalathil paranjaal apara valkkaranam",NOT
MA_YT084,@USER tholkkumbol athum ithum paranj ozhivaayitt kaaruamilla .otta thanthak pirannavanaanenkil vaaku paalikkedaaa,OFF
MA_YT085,Njan kore nokki kandilla...,NOT
MA_YT086,"@USER aa avar orupad perund jagathi chettan, surajettan, saleem kumar etc..",NOT
MA_YT087,Sathyam njanum karanju poyi,NOT
MA_YT088,@USER Anna Ben kadalil chenn nikkumbo ulla scn alle kannu nirakkane? 🤔,NOT
MA_YT089,Biriyani ella ... Kadal kanann vannatha😝😝😝,NOT
MA_YT090,@USER about Idhum kandu nokuo URL,NOT
MA_YT091,10th vare poya ajith english samsarikunath onnum ketitille??,NOT
MA_YT092,aaaaaa nadakkk ippo thannee pokaaa 🥴👅,NOT
MA_YT093,Athinn rahmath hotelithe biriyani ithrakk rasavumonnummilla njan kzhichittund ennall ernankulathe biriyani supera 😋,NOT
MA_YT094,@USER Srry njan chicken biriyaniya kazhichath bill vannappo netti,NOT
MA_YT095,ariyunnaver paraytte padicha karim paraynde irikkandallo 😂padichath mothalakkteee moluse,NOT
MA_YT096,Ithoru grl aanekil kure trolls vanenne ale trollen chettnmaree,NOT
MA_YT097,Ee samsarathil pulli unique aaan.. namma malayalikalum normally ingana thanneyokkeyalle samsarikkaa pinnentha,NOT
MA_YT098,E movie il tanvi bhaside ara? Avasanam cousin aanu enu ndo ketapole,NOT
MA_YT099,Chila words manslaavathe back adich dictionary thappit varuna le njan😑 Bhasi Uyir❤,NOT
MA_YT100,Mittayi vangiykunath polea ala njn film select cheyunath.. tha ith.. ith😂.. bhasist 😘😘😘😘,NOT
MA_YT101,Athe koode nikkum vallo nte karyathil edapedan oruyranum avakashamilla,NOT
MA_YT102,Paavam sirne aarenkilim onnu madiyil kidathoo.. kittathathinte keruvaanu.,OFF
MA_YT103,Poda security thayoli ninte ketyole vedi anenne karuthi nattile ella pennaungalum angane alla maire avarathi mone. Ninte ammede niyamam.,OFF
MA_YT104,"Endhaale??? Nalloru Caro Biko park cheyth poyaal aarum kaanathe athil Kori varakkum,,, aarelum naalu kash undaakkunnath kandaal udane assooya paara vepp,,, nalloru penninem kond oruthan nadannal appo sadaachaaravum paranj varum,,, vallathoru vrithiketta manushyar tanne,,,",NOT
MA_YT105,Security thayolide ammem kettiolum pooru vitt nadakkunna vedikal aayirikkum.....aa adisthanathil pooran security ella penungalem aa kannil ang kand pokum,OFF
MA_YT106,Poda pulla kalavandi yugathil jivikuna tayolikal,OFF
MA_YT107,Pavan security Kundan tayoli colony vaanam.ippo endayo aavo,OFF
MA_YT108,Adhiyam pennugale ninthe pallil adiyam kettiettu sabarimalude kariyathil abhiprayam parau..,OFF
MA_YT109,Like adikkam rahul easwarku. Kalla sudu,OFF
MA_YT110,eee vishayathil viswasikalk ethiraya neekam undakiya sarkarinem aval vilikanam ithu pole poattumo pattilla joli pokum,NOT
MA_YT111,Poda pulle nee nite kariyam nokkiya mathi ellakil kumbasarikkan ? Pokunna nite okke edavakayile pennugalude kariyam nokkada,OFF
MA_YT112,Vargeeya vesham cheettunna janathil poya pore theetta rahulin.... alle....,OFF
MA_YT113,Chakka enne parayumbol manga enne thirichu parayunna team swantham karyam mathram nokia pore enthi vere oruthante tro@USER madi nokan pokunne,NOT
MA_YT114,Teacher ennullath family per alla makkale ath arhadayullavare vilikum.,NOT
MA_YT115,@USER Arhatha theerumanikkunnath AKG centre il ninnano? AKG ennu kelkkumbol Belram paranja aa peedakaneyanu orma varunnath😂,OFF
MA_YT116,@USER ningal vilicholu avar ningalude teacher thanneyane we agree.pakshe ellavarum avare teacher ayikanenam ennulla manobhavam venda,NOT
MA_YT117,@USER ithellam anubhavam ayirikkum alle.anubhava guru ennnalle.,NOT
MA_YT118,Abdul nasar madani ennanalle vilikar allade usthade ennkeri oru avadaralayum vilikunath njanketitilla,NOT
MA_YT119,@USER Thanthak lirakathavark ellavarum anganen thonum,OFF
MA_YT120,madani ye madani mash ennu vilicho usthaad ennu vilicho...eppazhenkilum aparna?,NOT
MA_YT121,@USER avanu parayan aggilum ind nine thoori ettathale ninte thalla,OFF
MA_YT122,Eda theetta rahule.... enth oolatharamada parayunne..... changayi Ningalde charithram keralathil motham ariya.... Veshakalaye teacher enn vilicha keralathile maathramalla motham lokathile teachersinum nanakeda. .. Vargeeya vesham......,OFF
MA_YT123,@USER njan nigada onja chanel ozhike bhakki ella english hindi tamil malayalam news and entertainment chanels kaanarund,NOT
MA_YT124,@USER Kanditt enthu karyam?? Chinthikkande aniyaaa??,NOT
MA_YT125,Avalda chund valuthanallo,OFF
MA_YT126,Thaanokke alle samskaaram padippikaan nadakkunna faken maaru..adyam swayam nannaakedo..swantham veettil pennungale chundu aadyam poyi nokkedo kapadanmaare...,OFF
MA_YT127,Anallo allanu iyalku theliyikamo,NOT
MA_YT128,Chettanodu ulla respects poi ... sathyam,NOT
MA_YT129,Shashjkalayenna chanaka vishathe techerenno chanaka kuziyil thalliyidu,OFF
MA_YT130,Suppr avatharaka. Ivanippozhum thalayil nettippattomkettinadappano,NOT
MA_YT131,Aparana kurachoke respect akam neeyaa vargiyvathy alathe shasheekala teacher ala ok,NOT
MA_YT132,Nerathe 30 min....ipo oru vari....kashtam..😂,NOT
MA_YT133,"avare,sasikala ennukuudi vilikkaruth,,,,sthree,ennu vilichaal ath sthree samuuhathinu thanne apamaanamaayippokum,,,",OFF
MA_YT134,Eee pattie de monte Vail thuranam...pulayadimon.,OFF
MA_YT135,Ithethaa pochara kannnullllaa puthiya poooriee????,OFF
MA_YT136,Moan aruvani anne vilikku panna kandaroli pannachi puvhithalachi,OFF
MA_YT137,ee rahuleawar araa hindu matham kandupidichavano koppan,OFF
MA_YT138,Aparna..sontham..ammayea..edi..podie..enna..vilikkunnathu...,OFF
MA_YT139,Logam muzhuvan mother tharesa ennu vilikkunna tharesaye theri vilikkunna aalanu sashikala,NOT
MA_YT140,Poyernedaa ooolakalee ninakkokke athu thonnum Nale ningalude karyam varattte appo manassilayikkolum chettakale,OFF
MA_YT141,100% agree. Malayali house video kanichapol shariku vyaktham,NOT
MA_YT142,ni enthu cop aad pulle parayane?,OFF
MA_YT143,Ithuvareyum iyyal jattiyude ilastic thalayil ninnum oori kalanjilleee,OFF
MA_YT144,Eda manda! Nine pole ula mandanmark chelapo ayal parayanadu manasilavilla!! Ittiri vivaram venam myre,OFF
MA_YT145,@USER evde poyalum veruppikkum enn para,NOT
MA_YT146,@USER comments nokkiya ariyam pannisudappikal mathre rahuline ethirkullu,OFF
MA_YT147,@USER seriyanu..malikappurathamma yk vivaham kazhichu kollam enn thanneyanu vakk koduthittullath,NOT
MA_YT148,Oru party yeyum support cheyyarud.angane support cheythal avare nth thett cheythalum namuk support cheyyendi varum .manasilla manasode annenkilum.nallad cheyyumenkil support cheyyu.allenkil athirku,NOT
MA_YT149,onnu Podi ezhunette... mumbe undayirunnu ajaram lenkikkapettapol athengane anajaramayi mari.. Sathyam Ethoke Kelkumbol ezhunette adikn thonnunnu,OFF
MA_YT150,Nithin Prakash ...😂😂😂ayyappante ammayo Eth adhathe arivan. To. ..anth ppttatharaman nigal we parayunne Haranum harikkum jenicha kittiyanu ayyappan. Athayath sivanum vishnuvinum jenicha th,NOT
MA_YT151,arun chettan vere level aa ellam muzhuvanum ayi padichittanu pulli vadikkunathu,NOT
MA_YT152,Ni ano myre avarde mon? Ninak enda ked? Avar orumich jeevikanadu ninde veetil allalo poora! Ninak pattiyadu murukk aanu!! Poi orakk...nalla chorichil indello,OFF
MA_YT153,Bro veettilulla pennungale ellam kond mala kayari.. Kuri thott Ayyappane praarthikk... Manassile vrinam unangatte,NOT
MA_YT154,@USER swantham karyam noki nadakada oole. Avasyam ilathadthke keri abipraym paryl valya heroism onnuala,OFF
MA_YT155,@USER oh moori aanalle myre nee chelakkaathe poda pola myre,OFF
MA_YT156,Ith Matha praanthalla suhruthe ..mattethelum religion ingane point finger cheyyuvan aarenkilum sammadikumo..pinne ella mathatheyum sweegarikunna ore oru samskaram sanathandarmam aanu,NOT
MA_YT157,Valare sheriyanu ....bharthavu paranju kodukkunnathu Vannu shardikunnu,OFF
MA_YT158,rahul eeswar mandan onnum allaa..nalla comment ane rahul paranjathu..onnum vittu kodukkunnillaa9,NOT
MA_YT159,nee adhym poyi palliyil sthree kale kettada,OFF
MA_YT160,@USER ishtamullpola ezhutham.. Vayichapo mansilaaaayalla ath mathi..,NOT
MA_YT161,Manushyaaaa..... etokke anganeyadavveee..... al kiduveeeee,NOT
MA_YT162,Paavam evarodengilum jayichu Arun kaattam,NOT
MA_YT163,@USER illatha sathanam engane olich iranganaanu setta,NOT
MA_YT164,@USER 😪 ayinu njan entho venam..... njan paranjathinte udhesham manasilakkathe Matha sauhardham paranju budhimuttanda njanum kure aravana kazhichavan aanu 😴,NOT
MA_YT165,Correct ivane ivaleyum konnu kalanja mathi,OFF
MA_YT166,Ningale polulla nireeswara vadhikalk ath verumoru prathima akam.. Njangal viswasikalk anganeyalla..,NOT
MA_YT167,"Rahul ne kanubol pokkiriraja cinema yille Salim Kumar orma varunnu ulla books muyuvan konduvanittunde,😂",NOT
MA_YT168,😆😆allam kaayinnu poyi😆😆 Ah motta chettanu ente vaka oru kuthira pavan 😘,NOT
MA_YT169,deepa thamburaatti.. poti chaavedi vargheeya vadi,OFF
MA_YT170,Husband nte kelikal rasichu kaanunna nalla bharya...,OFF
MA_YT171,Enik ini teri vilikkam vayya...randineyum paranju vidu ..plzz...,OFF
MA_YT172,Brahmanism kalikkunnu ath manassilakatha kura aalkar,NOT
MA_YT173,Vavaril njan vishwsikunnilla Islam vannath 1400 varsham alla aadam pravajaknilodeyane,NOT
MA_YT174,@USER 1400 varsham kazhinjittaan islam lokam muzhuvanum prajarichath adhinu mumbulla pravajakanmaar chila kaalagattathilekkum pradeshethekkum aan ayachath,NOT
MA_YT175,Majal shobayeyum..ottagam gopaleneyum kondu varu..,OFF
MA_YT176,"Samuham evante kallam therichu ariyende, ayapanu avide arodum paranjitilla engotu varenda ennu? Oru samhithayilum prayam paranjitilla",OFF
MA_YT177,Super prgm annu ithu ellam thurannu kattanulla vedhiyil👌👌👌👍👍👍,NOT
MA_YT178,Deebayude poottile chiri kanumbol moonji adich pottikkan thonunnu,OFF
MA_YT179,Enthoru comedy anooo.. Rahulinu natteloo??!!!!!😂😂😂😂😂😂😂😂😂😂😂😂😂😂 Nattelum Rahulum thammil enthu Bhandham??!!! 😂😂😂😂😂😂😂😂,OFF
MA_YT180,U r right.alukale komali akkan manapoorvam sremikunnu.ith jenakiya kodathi alla,NOT
MA_YT181,E...barthavineyum bhariyeneyum odikan arumile......,OFF
MA_YT182,Araa Aaraanu chodichathu kettile Sara's 👙👙👙,NOT
MA_YT183,Namboothiri marku ethu nayaru pennine venelum poosan ulla adhikaram vedangalil undu acharavumanu. Ennitu nirthalakkiyille,OFF
MA_YT184,Deepa ningal enne chiripichu kollum..articles oke parayumbol ulla mukabhavam kalaki,NOT
MA_YT185,"Ee nattellu serious ano, appo ee naadakangal okke kanda janangal mandanmarano",NOT
MA_YT186,Oolanum Oolathiyum. Allenkil. Enampechiyum Marapattiyum. Evare. Kanumpol Atha. Thonnunnath,OFF
MA_YT187,"49 vayassulla ""yuvathik"" kayaran paadilla. 50 vayassulla ""muthassik"" keraam. :D Ayyappaaa....ninakk ipo neeye ullu thuna. Keralam oru praanthaalayam.",NOT
MA_YT188,@USER pottananalle. Hindu mathamalla ennuvadhikunna ee Jettithalayan article 25 protectione pattiparayunnath shariyano.,OFF
MA_YT189,CHOCOLATE BOY OOO? KORAMGINE POLE IND KAANAN,OFF
MA_YT190,Ithu pole nanam ketta 2 ennam keralathil vere undavumo ayyappa?,OFF
MA_YT191,Evide adhyam aduth kalayanda 2 karyaggal aanu 1 matham 2 jaathi..,NOT
MA_YT192,Deshabhimani news 2012 Sabarimala women entry onnu google search chaithu nokku. Appol manasilaavum kaaryangal.,NOT
MA_YT193,Viswasam ennu paranjal bhakthiyekkal bhayam aanu...athanu sathyam...,NOT
MA_YT194,Oru feministum avide kerilla ennu parayan ath ninte kudumba swath onnum allallo.... Onnu podo....,OFF
MA_YT195,arthava time lu sthree vachu tharunna food kazhichattu temple lu pokam.aval touch cheyarutheruthu ale ale avalku praveshanam illa,NOT
MA_YT196,Motta avare samsarikkan p olum anuvathikkunnillalo,NOT
MA_YT197,Nattallu alla vazhapindi..loka vazha ..pazham vizhungi,OFF
MA_YT198,E Koch aanpillere kanditille deyvame,OFF
MA_YT199,Manju nee avasyamulla pani eduthal pore,NOT
MA_YT200,Keeri ottichu vittu. Bhayangara santhosham undu. Sharashari malayalai agrahichathu ie channel cheythu. Full power. Adipoli,NOT
MA_YT201,kanapadham padhich parayuka aano answers...ee kutide channelil kanda interview vii lum ithokke thanne valli pulli thettathe parayunnu,NOT
MA_YT202,Ee myrukal okke tiktokil kidann Enth myro kanikkatte avide ulla myrukal sahichamathiyallo YouTubeil kond varunnath enthinu dapperkale..,OFF
MA_YT203,Oroo oombiya videos ayitt eragikolum ... ee kundiyolie interview edukkan Athine Kalum valiya murukal ..video kandavarokke channel report adichett podee..,OFF
MA_YT204,eyy Orikkalum Down akaruthu....video cheythonde irikkuka..Trollanmarku santosham avatte Patte......,NOT
MA_YT205,E patti theetathine kondano vannokane,OFF
MA_YT206,Ivall athrekoo moshamaya kuttiyanooðŸ˜ðŸ˜,NOT
MA_YT207,Ithine follow cheyunore URL adikanam,OFF
MA_YT208,Epo manasill ayyy real life koothare Annu Ennu,OFF
MA_YT209,Kundi kundi enu parayathe nirthi podi,OFF
MA_YT210,Ahankarikal orikalum gunam URL,NOT
MA_YT211,Enth thall aaaan mole ozhivaaak ivale okke Thall thall thall thall thall thall,NOT
MA_YT212,"Aaaa 10k item powlichu , ntae ponno namichu ðŸ¤¦",NOT
MA_YT213,Nee evide poyalum tholviyannallo,NOT
MA_YT214,Evalku aareyum pediyilla verum thanttediya tik tokil ethreyo paavam kuttikal undu avareyokke follow cheyythu like adiku evalkokke enthina kodukunne,NOT
MA_YT215,Ivale ellarum koodi trolli trolli famous aaki ippo ival bayangara famous aayirikkunnuðŸ’©ðŸ’©This is awful!!!,NOT
MA_YT216,Alla e interview kond entha undheshiche.... subscribe cheutha channel ayirunuu... Ipo unsubscribe cheythuuuðŸ˜ticktock l koprayam kanikkuna ororutharude interviws eduth avare kurachodi prolsahiURL nallla karyam...e kuttiyude ticktock pradhnam tick tock ullavarkkoke ariyamayirikkolo.. Pine athillathavare ariyichu namale mandanmarukkubano undheshiche,NOT
MA_YT217,Ivale kettunavan endhayalum oru kozhi aayirikkum,OFF
MA_YT218,"Eth gethi ketta cinemakkaranavo, ivaleyoke, vilichekkane, Malayala cinemayil ithra kshamamano",OFF
MA_YT219,Ashyee nasriya ayt tharathamyam chyunnoðŸ˜†nazriya kekkandaðŸ’©ðŸ’©,OFF
MA_YT220,Kutty dhairyamay munnot poku...oral ingot abuse cheythal tirich parayunnathi oru kuzhappom illa...aanungal cheetha vakkukal upayogichal athu style penkutty anegil aval pokka ennatanu ivduthe niyamam...plz be the way u are and dnt change..all the best,NOT
MA_YT221,Aare kanikkana ival ee mudi kai kond maanthi maanthi vidunneðŸ˜‚ maanthi maanthi aano athrem bhagam narachu poye??,OFF
MA_YT222,"Njan enne tanne vilikkunna peranu Saroj Kumar, sherikulla peru Rajappanâ€™ ennu parayunnathupole aanu.. â€˜njan enne tanne vilikunna peranu helen of sparta.. sherikulla peru dhanya s rajappanâ€™ Kandaaalum mathi marayonth. Ennit aval sundariyanu polum!",OFF
MA_YT223,Pacha theri vilikkunna settanmara kundi myre ennu kettapol kuru potti kudumba mahima parayune.. ðŸ˜„ðŸ˜„,OFF
MA_YT224,"thayo....li kundi..,yo...ninake varil illathe ane prashnam.. poooooo riii molll eeee",OFF
MA_YT225,Aa indarw edukunavalude dres,NOT
MA_YT226,Mattaea availu aara koppu montha adichu parikanam,OFF
MA_YT227,Nala amma achan but ninaku oru brother ilathea poyiii undarunuu engilu un instal chayathathinu akum ninea avan eraki vetteanam,OFF
MA_YT228,Di sheriya nintea life mari marinjuu evaku oscar award kittiyoo poyii padiku peannea valathum evide poyailum oru thali vizhum nintea kazhithil aaneram ellam ok aakum nala cherukan aanu engilu,OFF
MA_YT229,Aa committed aaya vaikthikku aadhranjalikal ðŸ´ðŸ´,NOT
MA_YT230,Ee vanathine pokki adikkatha Vittiliri my..... ðŸ˜¤ðŸ˜¤,OFF
MA_YT231,"22:34 Vttu kalayan ayitt .........{Vali} ond onnu podi avdanu ,ðŸ˜‚ðŸ˜‚",OFF
MA_YT232,Awooo .bayangara veetukare thanne,OFF
MA_YT233,Bhagavanee ithinum interviewvo ? Negative publicitykkokke ithrak vilayundo ..kashtam....,OFF
MA_YT234,Pottanmar interview cheyan helen of spartayude aduthuchalum,OFF
